Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,26.799999,27.1,25.639999,26.280001,79642800,20.675314
2005-02-01,26.25,26.5,25.129999,25.16,75992300,19.855244
2005-03-01,25.190001,25.790001,23.82,24.17,72899700,19.073977
2005-04-01,24.24,25.450001,23.940001,25.299999,77090200,19.965725
2005-05-02,25.23,26.09,24.639999,25.799999,62699700,20.424889
2005-06-01,25.73,26.0,24.82,24.84,62956700,19.664894
2005-07-01,24.85,26.48,24.5,25.610001,69046600,20.274475
2005-08-01,25.809999,27.940001,25.76,27.379999,65529900,21.740011
2005-09-01,27.379999,27.389999,25.120001,25.73,66976400,20.429893
2005-10-03,25.709999,25.799999,24.25,25.700001,72132400,20.406075
2005-11-01,25.610001,28.25,25.610001,27.68,71469100,22.042643
2005-12-01,27.73,28.1,26.1,26.15,62892300,20.824245
2006-01-03,26.25,28.379999,26.1,28.15,74173200,22.416922
2006-02-01,27.959999,28.07,26.34,26.870001,58565000,21.470118
2006-03-01,26.98,28.219999,26.620001,27.209999,65223100,21.741789
2006-04-03,27.67,27.940001,24.0,24.15,107219900,19.296738
2006-05-01,24.32,25.0,22.450001,22.65,110427000,18.168755
2006-06-01,22.74,23.65,21.459999,23.299999,92940200,18.690155
2006-07-03,23.530001,24.6,22.23,24.059999,68627600,19.299791
2006-08-01,24.02,26.25,23.85,25.700001,50459500,20.691236
2006-09-01,25.889999,27.52,25.389999,27.35,56588300,22.019663
2006-10-02,27.32,28.85,27.15,28.709999,61492200,23.114605
2006-11-01,28.780001,30.0,28.58,29.360001,61544700,23.718739
2006-12-01,29.23,30.26,28.799999,29.860001,58945000,24.122669
2007-01-03,29.91,31.48,29.4,30.860001,69924300,24.930527
2007-02-01,30.84,30.940001,27.790001,28.17,72483300,22.836296
2007-03-01,27.82,28.549999,26.6,27.870001,59843900,22.593098
2007-04-02,27.889999,30.74,27.559999,29.940001,51337600,24.271164
2007-05-01,29.940001,31.16,29.9,30.690001,64202000,24.959753
2007-06-01,30.790001,30.9,29.040001,29.469999,59647900,23.967543
2007-07-02,29.67,31.84,28.950001,28.99,64862000,23.577166
2007-08-01,28.950001,30.1,27.51,28.73,55264800,23.447611
2007-09-04,28.5,29.85,28.27,29.459999,61223000,24.04339
2007-10-01,29.459999,37.0,29.290001,36.810001,85117900,30.041998
2007-11-01,36.529999,37.5,32.68,33.599998,90565400,27.512861
2007-12-03,33.5,36.720001,32.630001,35.599998,55002300,29.150532
2008-01-02,35.790001,35.959999,31.040001,32.599998,97806800,26.694027
2008-02-01,31.059999,33.25,27.02,27.200001,122099600,22.358858
2008-03-03,27.24,29.59,26.870001,28.379999,74958500,23.328836
2008-04-01,28.83,32.099998,27.93,28.52,69066000,23.44392
2008-05-01,28.5,30.530001,27.950001,28.32,69931800,23.365217
2008-06-02,28.24,29.57,27.110001,27.51,77060400,22.696934
2008-07-01,27.27,27.91,24.870001,25.719999,77180100,21.220106
2008-08-01,25.92,28.5,25.07,27.290001,59889700,22.605225
2008-09-02,27.67,27.76,23.5,26.690001,96891900,22.108225
2008-10-01,26.379999,27.469999,20.65,22.33,136418800,18.496689
2008-11-03,22.48,23.66,17.5,20.219999,95976900,16.862368
2008-12-01,19.879999,21.25,18.469999,19.440001,72425500,16.211891
2009-01-02,19.530001,21.0,16.75,17.1,81320700,14.260461
2009-02-02,17.030001,19.93,16.1,16.15,81560000,13.560557
2009-03-02,15.96,18.879999,14.87,18.370001,78098900,15.42461
2009-04-01,18.23,21.200001,18.18,20.26,78563800,17.011574
2009-05-01,20.190001,20.940001,19.01,20.889999,57362800,17.651955
2009-06-01,21.0,24.34,20.860001,23.77,67163500,20.085543
2009-07-01,24.049999,25.719999,22.0,23.52,71441700,19.874294
2009-08-03,23.82,25.49,23.030001,24.65,49659200,20.946257
2009-09-01,24.35,26.25,23.76,25.719999,52500600,21.855486
2009-10-01,25.41,29.35,24.43,27.73,72581900,23.563477
2009-11-02,27.700001,30.139999,27.41,29.41,53121400,25.101519
2009-12-01,29.52,31.5,29.25,30.48,43297000,26.014767
2010-01-04,30.620001,31.24,27.66,28.18,81765200,24.051712
2010-02-01,28.389999,29.030001,27.57,28.67,58684900,24.584354
2010-03-01,28.77,30.57,28.24,29.290001,51043300,25.116001
2010-04-01,29.35,31.58,28.620001,30.540001,65821100,26.18787
2010-05-03,30.67,31.059999,24.559999,25.799999,89381300,22.223173
2010-06-01,25.530001,26.93,22.950001,23.01,79675500,19.819971
2010-07-01,23.09,26.41,22.73,25.809999,71053500,22.231787
2010-08-02,25.99,26.379999,23.32,23.469999,61156600,20.324039
2010-09-01,23.67,25.530001,23.540001,24.49,63542900,21.207317
2010-10-01,24.77,27.200001,23.780001,26.67,66458300,23.095108
2010-11-01,26.879999,28.870001,24.93,25.26,68402700,22.008509
2010-12-01,25.57,28.4,25.559999,27.91,48111900,24.317398
2011-01-03,28.049999,29.459999,27.42,27.73,71314300,24.160568
2011-02-01,27.799999,28.34,26.43,26.58,61355100,23.295479
2011-03-01,26.6,26.780001,24.68,25.389999,59744300,22.252527
2011-04-01,25.530001,26.870001,24.719999,25.92,81658100,22.717035
2011-05-02,25.940001,26.25,24.030001,25.01,67821800,22.06316
2011-06-01,24.99,26.0,23.65,26.0,61376900,22.936512
2011-07-01,25.93,28.15,25.84,27.4,68186100,24.171555
2011-08-01,27.51,27.690001,23.790001,26.6,77332100,23.613924
2011-09-01,26.459999,27.5,24.6,24.889999,63522800,22.095886
2011-10-03,24.719999,27.5,24.26,26.629999,60235300,23.640556
2011-11-01,26.190001,27.200001,24.299999,25.58,53693200,22.879425
2011-12-01,25.559999,26.190001,25.16,25.959999,49264800,23.219305
2012-01-03,26.549999,29.950001,26.389999,29.530001,70271500,26.412409
2012-02-01,29.790001,32.0,29.709999,31.74,52182700,28.575985
2012-03-01,31.93,32.950001,31.49,32.259998,44277900,29.044146
2012-04-02,32.220001,32.889999,30.23,32.02,48821800,28.828074
2012-05-01,32.049999,32.34,28.639999,29.190001,47886600,26.452623
2012-06-01,28.76,31.139999,28.32,30.59,48969400,27.721334
2012-07-02,30.620001,31.049999,28.540001,29.469999,42105900,26.706366
2012-08-01,29.59,30.959999,28.969999,30.82,30797300,28.114794
2012-09-04,30.450001,31.610001,29.74,29.76,49859800,27.147835
2012-10-01,29.809999,30.25,27.76,28.540001,55946000,26.03492
2012-11-01,28.84,30.200001,26.34,26.620001,66390700,24.482988
2012-12-03,26.780001,27.73,26.26,26.709999,49503000,24.565762
2013-01-02,27.25,28.23,26.280001,27.450001,56932500,25.246357
2013-02-01,27.67,28.200001,27.1,27.799999,42969800,25.779945
2013-03-01,27.719999,28.66,27.52,28.610001,45019900,26.53109
2013-04-01,28.639999,33.110001,28.110001,33.099998,70041900,30.694828
2013-05-01,32.93,35.279999,32.32,34.900002,51273800,32.590981
2013-06-03,34.919998,35.779999,32.57,34.540001,50535000,32.254795
2013-07-01,34.75,36.43,31.02,31.84,52501300,29.733431
2013-08-01,32.060001,35.200001,30.84,33.400002,49729700,31.410004
2013-09-03,31.75,33.75,30.950001,33.279999,64140000,31.297152
2013-10-01,33.349998,36.290001,32.799999,35.41,43783200,33.300247
2013-11-01,35.669998,38.290001,35.389999,38.130001,41126100,36.130135
2013-12-02,38.09,38.98,35.529999,37.41,40196200,35.447895
2014-01-02,37.349998,37.889999,34.630001,37.84,48732700,35.855343
2014-02-03,37.740002,38.459999,35.689999,38.310001,39290500,36.572899
2014-03-03,37.919998,41.5,37.490002,40.990002,39300500,39.131382
2014-04-01,41.150002,41.66,38.900002,40.400002,37217700,38.568134
2014-05-01,40.240002,40.970001,38.509998,40.939999,28996600,39.359367
2014-06-02,40.950001,42.290001,39.860001,41.700001,27932600,40.090027
2014-07-01,41.860001,45.709999,41.049999,43.16,34688800,41.493656
2014-08-01,43.209999,45.470001,42.209999,45.43,25501300,43.948811
2014-09-02,45.43,47.57,44.529999,46.360001,42564700,44.848488
2014-10-01,46.27,46.970001,42.099998,46.950001,38655800,45.41925
2014-11-03,46.889999,50.049999,46.73,47.810001,28659100,46.542931
2014-12-01,47.880001,49.060001,44.900002,46.450001,29467800,45.218975
2015-01-02,46.66,47.91,40.349998,40.400002,49848000,39.329311
2015-02-02,40.59,44.299999,40.23,43.849998,36316400,42.991669
2015-03-02,43.669998,44.189999,40.540001,40.66,39055500,39.864113
2015-04-01,40.599998,49.540001,40.119999,48.639999,44726700,47.687908
2015-05-01,48.580002,48.91,46.02,46.860001,33479600,46.241333
2015-06-01,47.060001,47.77,43.939999,44.150002,31854400,43.567112
2015-07-01,44.459999,47.400002,43.32,46.700001,34393600,46.083443
2015-08-03,46.98,48.41,39.720001,43.52,38615300,43.228626
2015-09-01,42.169998,45.0,41.66,44.259998,33716100,43.963669
2015-10-01,44.75,54.369999,43.75,52.639999,41052600,52.287563
2015-11-02,52.849998,54.98,52.529999,54.349998,35707300,54.349998
2015-12-01,54.41,56.790001,53.68,55.950001,38522300,55.950001
