Date,Close,High,Low,Open,Volume,Adj Close
2015-12-09 10:30:00,352.21,353.45,348.49,350.83,117932,352.21
2015-12-09 11:30:00,350.2,353.29,350.025,352.92,32140,350.2
2015-12-09 12:30:00,345.212,350.31,345.212,350.31,77179,345.212
2015-12-09 13:30:00,343.77,345.45,343.49,345.37,65616,343.77
2015-12-09 14:30:00,344.35,345.9,343.62,343.62,45909,344.35
2015-12-09 15:30:00,344.9,345.19,343.51,344.9,32052,344.9
2015-12-09 16:00:00,344.48,345.75,344.13,345.12,54683,344.48
2015-12-10 10:30:00,345.46,345.46,342.9,343.61,85230,345.46
2015-12-10 11:30:00,346.31,347.4,345.075,345.56,51952,346.31
2015-12-10 12:30:00,345.35,346.34,344.38,346.3,143097,345.35
2015-12-10 13:30:00,346.18,347.052,344.708,345.365,46963,346.18
2015-12-10 14:30:00,348.83,348.83,346.32,346.8,28669,348.83
2015-12-10 15:30:00,346.62,348.86,346.06,348.86,27412,346.62
2015-12-10 16:00:00,345.39,346.5,345.17,345.75,92282,345.39
2015-12-11 10:30:00,336.68,340.744,335.02,340.335,145694,336.68
2015-12-11 11:30:00,333.615,337.0,333.32,337.0,103137,333.615
2015-12-11 12:30:00,332.97,334.56,332.62,333.51,81963,332.97
2015-12-11 13:30:00,327.21,333.57,327.16,333.01,188376,327.21
2015-12-11 14:30:00,326.27,327.73,323.55,327.73,289470,326.27
2015-12-11 15:30:00,322.31,326.28,321.32,325.89,193967,322.31
2015-12-11 16:00:00,322.7,323.84,321.98,322.55,204116,322.7
2015-12-14 10:30:00,318.39,327.24,318.39,322.2,175157,318.39
2015-12-14 11:30:00,317.04,320.17,316.51,318.785,115414,317.04
2015-12-14 12:30:00,318.42,318.5,314.62,316.75,223759,318.42
2015-12-14 13:30:00,318.645,319.53,317.61,318.87,111372,318.645
2015-12-14 14:30:00,317.57,318.82,317.03,318.57,75207,317.57
2015-12-14 15:30:00,318.59,319.82,317.19,317.55,108655,318.59
2015-12-14 16:00:00,319.5,319.94,317.98,319.02,104286,319.5
2015-12-15 10:30:00,325.325,327.39,323.0,324.375,124644,325.325
2015-12-15 11:30:00,326.12,326.47,324.315,324.7,91171,326.12
2015-12-15 12:30:00,327.5,327.5,324.84,326.5,68945,327.5
2015-12-15 13:30:00,328.68,329.867,327.64,327.64,87415,328.68
2015-12-15 14:30:00,330.83,331.2,328.36,328.74,106770,330.83
2015-12-15 15:30:00,330.17,331.43,329.35,330.91,90128,330.17
2015-12-15 16:00:00,329.205,330.7,328.68,329.76,135762,329.205
2015-12-16 10:30:00,328.03,333.686,327.805,332.75,124272,328.03
2015-12-16 11:30:00,324.43,328.028,324.0,328.028,103741,324.43
2015-12-16 12:30:00,324.34,325.9,324.0,324.5,61311,324.34
2015-12-16 13:30:00,325.385,326.54,323.94,324.36,130167,325.385
2015-12-16 14:30:00,325.88,327.04,322.3,325.35,101982,325.88
2015-12-16 15:30:00,330.85,330.85,325.11,325.29,184273,330.85
2015-12-16 16:00:00,331.0,332.29,330.94,331.21,99714,331.0
2015-12-17 10:30:00,334.98,334.98,331.0,331.44,174814,334.98
2015-12-17 11:30:00,329.95,336.19,329.85,335.51,161684,329.95
2015-12-17 12:30:00,330.04,332.02,329.4,329.748,102178,330.04
2015-12-17 13:30:00,331.28,331.98,328.575,329.83,46715,331.28
2015-12-17 14:30:00,331.97,332.64,331.03,331.36,84088,331.97
2015-12-17 15:30:00,332.39,332.53,330.42,331.88,123130,332.39
2015-12-17 16:00:00,330.86,333.105,330.66,332.14,71088,330.86
2015-12-18 10:30:00,325.7,329.57,324.43,329.57,147189,325.7
2015-12-18 11:30:00,325.73,327.0,324.02,325.21,50233,325.73
2015-12-18 12:30:00,323.76,325.8,323.61,325.55,33663,323.76
2015-12-18 13:30:00,322.88,323.89,322.635,323.31,58302,322.88
2015-12-18 14:30:00,324.62,324.92,322.42,322.42,47204,324.62
2015-12-18 15:30:00,322.84,324.688,321.498,324.635,105357,322.84
2015-12-18 16:00:00,322.263,323.53,322.263,322.27,36617,322.263
2015-12-21 10:30:00,325.62,328.12,323.77,325.658,66101,325.62
2015-12-21 11:30:00,324.26,326.91,323.78,326.36,28881,324.26
2015-12-21 12:30:00,324.08,324.46,323.03,324.175,33281,324.08
2015-12-21 13:30:00,325.47,325.76,323.91,323.96,29878,325.47
2015-12-21 14:30:00,324.37,325.91,324.2,325.76,33814,324.37
2015-12-21 15:30:00,322.67,324.59,322.6,324.202,57828,322.67
2015-12-21 16:00:00,325.56,325.56,323.08,323.08,76323,325.56
2015-12-22 10:30:00,324.829,326.5,322.51,326.5,101018,324.829
2015-12-22 11:30:00,323.322,324.77,323.32,324.46,22300,323.322
2015-12-22 12:30:00,325.74,325.88,323.645,323.645,22916,325.74
2015-12-22 13:30:00,327.28,327.32,325.6,325.6,32691,327.28
2015-12-22 14:30:00,327.89,328.55,327.21,327.29,69592,327.89
2015-12-22 15:30:00,331.37,331.37,327.89,327.89,96470,331.37
2015-12-22 16:00:00,330.68,331.25,329.37,331.25,127865,330.68
2015-12-23 10:30:00,334.395,336.08,332.59,333.523,92882,334.395
2015-12-23 11:30:00,335.41,335.71,334.17,334.64,49677,335.41
2015-12-23 12:30:00,336.27,337.29,334.94,335.34,45845,336.27
2015-12-23 13:30:00,336.79,337.35,335.98,336.455,55950,336.79
2015-12-23 14:30:00,339.27,339.27,336.32,336.54,54178,339.27
2015-12-23 15:30:00,339.74,340.17,339.04,339.6,75048,339.74
2015-12-23 16:00:00,339.85,339.89,338.74,339.84,92356,339.85
2015-12-24 10:30:00,336.41,340.37,335.93,340.37,38858,336.41
2015-12-24 11:30:00,335.345,336.37,335.18,336.37,31461,335.345
2015-12-24 12:30:00,338.33,338.33,335.351,335.61,39832,338.33
2015-12-24 13:30:00,337.4,338.98,337.32,338.37,62439,337.4
2015-12-28 10:30:00,337.2,337.79,335.785,337.0,139997,337.2
2015-12-28 11:30:00,338.21,338.52,337.11,337.28,59572,338.21
2015-12-28 12:30:00,338.97,339.2,338.022,338.06,75154,338.97
2015-12-28 13:30:00,340.77,340.86,338.4,338.47,73935,340.77
2015-12-28 14:30:00,341.595,341.595,340.15,340.74,57861,341.595
2015-12-28 15:30:00,341.28,342.64,341.01,341.37,112308,341.28
2015-12-28 16:00:00,342.34,342.605,341.445,341.445,142990,342.34
2015-12-29 10:30:00,345.57,347.15,344.63,344.82,62490,345.57
2015-12-29 11:30:00,344.57,345.83,344.15,345.76,42765,344.57
2015-12-29 12:30:00,343.0,344.62,342.91,344.62,44064,343.0
2015-12-29 13:30:00,343.083,343.49,341.99,342.73,57570,343.083
2015-12-29 14:30:00,343.64,343.7,342.291,342.87,30134,343.64
2015-12-29 15:30:00,343.9,344.318,342.88,343.38,41372,343.9
2015-12-29 16:00:00,343.29,344.073,342.77,344.073,51095,343.29
2015-12-30 10:30:00,344.43,344.56,341.23,342.91,50607,344.43
2015-12-30 11:30:00,344.78,345.065,343.72,344.16,29730,344.78
2015-12-30 12:30:00,343.459,344.85,343.459,344.82,22509,343.459
2015-12-30 13:30:00,343.06,344.106,343.06,343.525,34364,343.06
2015-12-30 14:30:00,343.23,343.935,342.8,343.06,18924,343.23
2015-12-30 15:30:00,343.0,343.765,343.0,343.25,44447,343.0
2015-12-30 16:00:00,342.08,342.99,341.73,342.99,43874,342.08
2015-12-31 10:30:00,340.71,342.41,339.0,339.61,37787,340.71
2015-12-31 11:30:00,343.19,343.724,339.83,339.94,38478,343.19
2015-12-31 12:30:00,345.68,345.71,342.04,342.214,75321,345.68
2015-12-31 13:30:00,344.27,345.732,343.45,345.732,67045,344.27
2015-12-31 14:30:00,342.98,345.18,342.98,344.234,21270,342.98
2015-12-31 15:30:00,342.47,343.4,342.03,342.92,37005,342.47
2015-12-31 16:00:00,340.4,342.85,340.4,342.31,43606,340.4
2016-01-04 10:30:00,332.7,333.46,329.58,333.3,111092,332.7
2016-01-04 11:30:00,329.89,333.1,329.005,333.1,85980,329.89
2016-01-04 12:30:00,330.15,331.59,329.13,330.1,63343,330.15
2016-01-04 13:30:00,331.86,332.55,329.63,329.858,80303,331.86
2016-01-04 14:30:00,331.82,332.21,330.293,332.0,54208,331.82
2016-01-04 15:30:00,330.57,331.49,330.05,331.49,60337,330.57
2016-01-04 16:00:00,333.2,333.2,330.65,330.9,75250,333.2
2016-01-05 10:30:00,330.96,336.09,330.96,332.5,72604,330.96
2016-01-05 11:30:00,330.945,333.23,330.52,330.76,78525,330.945
2016-01-05 12:30:00,330.39,332.5,330.11,331.26,57115,330.39
2016-01-05 13:30:00,330.57,331.26,329.16,330.16,60357,330.57
2016-01-05 14:30:00,333.18,333.56,330.54,330.54,71495,333.18
2016-01-05 15:30:00,333.16,333.61,332.55,333.04,142229,333.16
2016-01-05 16:00:00,333.94,334.59,333.3,333.4,91652,333.94
2016-01-06 10:30:00,330.5,330.95,327.88,327.88,118951,330.5
2016-01-06 11:30:00,331.595,331.86,329.508,330.14,61649,331.595
2016-01-06 12:30:00,329.81,331.83,329.81,331.3,74939,329.81
2016-01-06 13:30:00,329.82,331.28,329.39,329.92,89675,329.82
2016-01-06 14:30:00,329.98,330.72,329.0,329.68,166241,329.98
2016-01-06 15:30:00,329.59,330.05,327.31,329.8,186988,329.59
2016-01-06 16:00:00,330.03,330.08,328.65,330.06,76070,330.03
2016-01-07 10:30:00,323.08,325.37,320.11,320.11,123073,323.08
2016-01-07 11:30:00,322.126,324.765,322.126,324.0,152480,322.126
2016-01-07 12:30:00,319.375,322.61,319.375,322.61,96767,319.375
2016-01-07 13:30:00,317.62,319.79,316.82,319.36,72214,317.62
2016-01-07 14:30:00,313.03,317.21,313.03,317.21,102895,313.03
2016-01-07 15:30:00,315.8,317.06,313.06,313.38,212681,315.8
2016-01-07 16:00:00,315.78,317.68,315.78,316.35,94663,315.78
